period,window_group,event_name,n_events,n_users
20180629,pre_window,completed_5_levels,8,6
20180629,in_window,app_remove,12,12
20180629,pre_window,no_more_extra_steps,16,8
20180626,in_window,level_reset,3,2
20180626,in_window,level_end,59,8
20180620,pre_window,completed_5_levels,3,3
20180620,in_window,use_extra_steps,3,1
20180620,in_window,completed_5_levels,8,6
20180620,in_window,level_reset,34,8
20180618,in_window,level_reset,9,5
20180618,in_window,select_content,24,1
20180623,pre_window,app_update,14,14
20180624,in_window,ad_reward,54,2
20180624,in_window,app_exception,10,3
20180628,in_window,os_update,1,1
20180627,in_window,spend_virtual_currency,5,3
20180627,pre_window,app_update,9,9
20180627,in_window,level_reset,18,5
20180619,pre_window,dynamic_link_app_open,1,1
20180619,pre_window,firebase_campaign,9,8
20180619,in_window,level_end_quickplay,229,16
20180622,in_window,ad_reward,10,3
